event_id,phone_number,from_country_code,datacenter,song_id,timestamp
EVT-000000001,+46362950628,SE,dc-north,14,2026-05-12T10:28:21
EVT-000000002,+47210053353,NO,dc-north,1,2026-05-12T10:28:21
EVT-000000003,+353553035110,IE,dc-west,2,2026-05-12T10:28:21
EVT-000000004,+33334760738,FR,dc-west,1,2026-05-12T10:28:21
EVT-000000005,+47128492780,NO,dc-north,9,2026-05-12T10:28:21
EVT-000000006,+353797808098,IE,dc-west,3,2026-05-12T10:28:21
EVT-000000007,+353582334538,IE,dc-west,9,2026-05-12T10:28:21
EVT-000000008,+420106977991,CZ,dc-central,5,2026-05-12T10:28:21
EVT-000000009,+32465341213,BE,dc-west,13,2026-05-12T10:28:21
EVT-000000010,+45919795579,DK,dc-north,1,2026-05-12T10:28:21
EVT-000000011,+351507943839,PT,dc-south,2,2026-05-12T10:28:21
EVT-000000012,+34469319644,ES,dc-south,7,2026-05-12T10:28:21
EVT-000000013,+372146654552,EE,dc-north,5,2026-05-12T10:28:21
EVT-000000014,+44506448196,GB,dc-west,11,2026-05-12T10:28:21
EVT-000000015,+39990566476,IT,dc-south,12,2026-05-12T10:28:21
EVT-000000016,+372488302652,EE,dc-north,17,2026-05-12T10:28:21
EVT-000000017,+420174684276,CZ,dc-central,4,2026-05-12T10:28:21
EVT-000000018,+33930075810,FR,dc-west,14,2026-05-12T10:28:21
EVT-000000019,+358349957310,FI,dc-north,20,2026-05-12T10:28:21
EVT-000000020,+34586845604,ES,dc-south,7,2026-05-12T10:28:21
EVT-000000021,+30481469012,GR,dc-south,3,2026-05-12T10:28:21
EVT-000000022,+31853573823,NL,dc-west,12,2026-05-12T10:28:21
EVT-000000023,+39283758720,IT,dc-south,13,2026-05-12T10:28:21
EVT-000000024,+353275452091,IE,dc-west,15,2026-05-12T10:28:21
EVT-000000025,+44787194506,GB,dc-west,8,2026-05-12T10:28:21
EVT-000000026,+353448195935,IE,dc-west,4,2026-05-12T10:28:21
EVT-000000027,+33134467368,FR,dc-west,6,2026-05-12T10:28:21
EVT-000000028,+351171069472,PT,dc-south,6,2026-05-12T10:28:21
EVT-000000029,+31709004943,NL,dc-west,18,2026-05-12T10:28:21
EVT-000000030,+351636045484,PT,dc-south,4,2026-05-12T10:28:21
EVT-000000031,+48790256940,PL,dc-central,19,2026-05-12T10:28:21
EVT-000000032,+44249926919,GB,dc-west,3,2026-05-12T10:28:21
EVT-000000033,+47678722458,NO,dc-north,14,2026-05-12T10:28:21
EVT-000000034,+45560027313,DK,dc-north,14,2026-05-12T10:28:21
EVT-000000035,+420335493870,CZ,dc-central,7,2026-05-12T10:28:21
EVT-000000036,+49197613238,DE,dc-central,13,2026-05-12T10:28:21
EVT-000000037,+33264112119,FR,dc-west,17,2026-05-12T10:28:21
EVT-000000038,+32553290810,BE,dc-west,15,2026-05-12T10:28:21
EVT-000000039,+372509760584,EE,dc-north,1,2026-05-12T10:28:21
EVT-000000040,+372668132202,EE,dc-north,19,2026-05-12T10:28:21
EVT-000000041,+45112327652,DK,dc-north,20,2026-05-12T10:28:21
EVT-000000042,+34676567501,ES,dc-south,13,2026-05-12T10:28:21
EVT-000000043,+45465260635,DK,dc-north,14,2026-05-12T10:28:21
EVT-000000044,+34269820594,ES,dc-south,5,2026-05-12T10:28:21
