event_id,phone_number,from_country_code,datacenter,song_id,timestamp
dc-france-EVT-1781819260-000000001,+33349385737,FR,dc-france,3,2026-06-18T21:47:40
dc-france-EVT-1781819260-000000002,+33789808596,FR,dc-france,3,2026-06-18T21:47:40
dc-france-EVT-1781819260-000000003,+33456380881,FR,dc-france,1,2026-06-18T21:47:40
dc-france-EVT-1781819260-000000004,+33543514650,FR,dc-france,3,2026-06-18T21:47:40
dc-france-EVT-1781819260-000000005,+33692908947,FR,dc-france,3,2026-06-18T21:47:40
dc-france-EVT-1781819260-000000006,+33790017111,FR,dc-france,1,2026-06-18T21:47:40
dc-france-EVT-1781819260-000000007,+33182387875,FR,dc-france,3,2026-06-18T21:47:40
dc-france-EVT-1781819260-000000008,+33112494152,FR,dc-france,3,2026-06-18T21:47:40
dc-france-EVT-1781819260-000000009,+33795666655,FR,dc-france,3,2026-06-18T21:47:40
dc-france-EVT-1781819260-000000010,+33105365036,FR,dc-france,3,2026-06-18T21:47:40
dc-france-EVT-1781819260-000000011,+33107256599,FR,dc-france,1,2026-06-18T21:47:40
dc-france-EVT-1781819260-000000012,+33910090900,FR,dc-france,3,2026-06-18T21:47:40
dc-france-EVT-1781819260-000000013,+33764715278,FR,dc-france,1,2026-06-18T21:47:40
dc-france-EVT-1781819260-000000014,+33769447578,FR,dc-france,3,2026-06-18T21:47:40
dc-france-EVT-1781819260-000000015,+33750191780,FR,dc-france,3,2026-06-18T21:47:40
dc-france-EVT-1781819260-000000016,+33206658268,FR,dc-france,3,2026-06-18T21:47:40
dc-sweden-EVT-1781819260-000000001,+46804950313,SE,dc-sweden,2,2026-06-18T21:47:40
dc-sweden-EVT-1781819260-000000002,+46889457860,SE,dc-sweden,3,2026-06-18T21:47:40
dc-sweden-EVT-1781819260-000000003,+46364869031,SE,dc-sweden,3,2026-06-18T21:47:40
dc-sweden-EVT-1781819260-000000004,+46672139504,SE,dc-sweden,2,2026-06-18T21:47:40
dc-sweden-EVT-1781819260-000000005,+46660269982,SE,dc-sweden,3,2026-06-18T21:47:40
dc-sweden-EVT-1781819260-000000006,+46211663880,SE,dc-sweden,3,2026-06-18T21:47:40
dc-sweden-EVT-1781819260-000000007,+46535368732,SE,dc-sweden,2,2026-06-18T21:47:40
dc-sweden-EVT-1781819260-000000008,+46276510704,SE,dc-sweden,3,2026-06-18T21:47:40
dc-sweden-EVT-1781819260-000000009,+46988672517,SE,dc-sweden,2,2026-06-18T21:47:40
dc-sweden-EVT-1781819260-000000010,+46848319230,SE,dc-sweden,3,2026-06-18T21:47:40
dc-sweden-EVT-1781819260-000000011,+46726511544,SE,dc-sweden,3,2026-06-18T21:47:40
dc-sweden-EVT-1781819260-000000012,+46383867041,SE,dc-sweden,3,2026-06-18T21:47:40
dc-sweden-EVT-1781819260-000000013,+46146998633,SE,dc-sweden,3,2026-06-18T21:47:40
dc-sweden-EVT-1781819260-000000014,+46539729521,SE,dc-sweden,2,2026-06-18T21:47:40
dc-sweden-EVT-1781819260-000000015,+46970628530,SE,dc-sweden,2,2026-06-18T21:47:40
dc-sweden-EVT-1781819260-000000016,+46474503158,SE,dc-sweden,2,2026-06-18T21:47:40
dc-sweden-EVT-1781819260-000000017,+46583821970,SE,dc-sweden,3,2026-06-18T21:47:40
dc-sweden-EVT-1781819260-000000018,+46624265540,SE,dc-sweden,3,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000001,+39286324213,IT,dc-italy,2,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000002,+39772700798,IT,dc-italy,2,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000003,+39591010409,IT,dc-italy,1,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000004,+39356108080,IT,dc-italy,2,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000005,+39441465402,IT,dc-italy,1,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000006,+39488727062,IT,dc-italy,1,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000007,+39277985617,IT,dc-italy,2,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000008,+39161998454,IT,dc-italy,2,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000009,+39640004489,IT,dc-italy,1,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000010,+39136131262,IT,dc-italy,2,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000011,+39212031471,IT,dc-italy,2,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000012,+39869625811,IT,dc-italy,1,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000013,+39299185627,IT,dc-italy,2,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000014,+39635751352,IT,dc-italy,2,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000015,+39517662969,IT,dc-italy,2,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000016,+39651032830,IT,dc-italy,2,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000017,+39389823227,IT,dc-italy,2,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000018,+39895365946,IT,dc-italy,2,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000019,+39249361519,IT,dc-italy,2,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000020,+39357995003,IT,dc-italy,1,2026-06-18T21:47:40
dc-italy-EVT-1781819260-000000021,+39114759511,IT,dc-italy,1,2026-06-18T21:47:40
dc-france-EVT-1781819261-000000017,+33245229419,FR,dc-france,3,2026-06-18T21:47:41
dc-france-EVT-1781819261-000000018,+33944731103,FR,dc-france,3,2026-06-18T21:47:41
dc-france-EVT-1781819261-000000019,+33371562790,FR,dc-france,3,2026-06-18T21:47:41
